City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,chui,-33.6971,-53.4616,17.46,86,0,2.78,UY,1736478835
120,kodiak,57.79,-152.4072,3.73,75,0,3.6,US,1736478837
121,ust-nera,64.5667,143.2,-30.22,98,88,1.26,RU,1736478838
122,wailua homesteads,22.0669,-159.378,25.44,82,0,5.14,US,1736478839
123,grytviken,-54.2811,-36.5092,6.02,96,100,3.36,GS,1736478840
124,amungan,15.3652,119.9582,29.06,58,78,1.27,PH,1736478841
125,kupang,-10.1667,123.5833,32.32,70,20,4.12,ID,1736478842
126,tamanrasset,22.785,5.5228,9.2,22,6,1.92,DZ,1736478843
127,katiola,8.1333,-5.1,23.42,21,100,1.27,CI,1736478844
128,constantia,44.1833,28.65,7.61,94,100,4.65,RO,1736478633
129,bozyazi,36.1082,32.9611,15.04,51,20,4.34,TR,1736478847
130,taulaga,-11.0553,-171.0883,28.76,69,100,10.11,AS,1736478848
131,nar'yan-mar,67.6713,53.087,-10.01,95,100,4.37,RU,1736478849
132,dimapur,25.9,93.7333,16.7,66,0,1.32,IN,1736478850
133,atafu village,-8.5421,-172.5159,28.14,73,100,8.03,TK,1736478851
134,rio grande,-32.035,-52.0986,21.17,80,0,6.79,BR,1736478852
135,san fernando de apure,7.8878,-67.4724,26.28,51,85,1.82,VE,1736478805
136,grand-bassam,5.2118,-3.7388,26.98,84,99,1.63,CI,1736478854
137,pauillac,45.1964,-0.7487,9.94,88,100,5.25,FR,1736478855
138,qaqortoq,60.7167,-46.0333,-9.91,70,22,3.67,GL,1736478857
139,las palmas,28.4204,-14.0131,14.44,88,40,3.6,ES,1736478858
140,smartno pri litiji,46.0444,14.8442,10.66,80,100,1.5,SI,1736478859
141,alotau,-10.3069,150.4462,32.28,56,94,2.99,PG,1736478860
142,fredericia,55.5657,9.7526,0.97,85,9,3.14,DK,1736478861
143,stanley,54.868,-1.6985,-3.61,88,11,3.09,GB,1736478863
144,avarua,-21.2078,-159.775,25.03,100,100,6.17,CK,1736478864
145,happy valley-goose bay,53.3168,-60.3315,0.11,79,100,10.47,CA,1736478866
146,burutu,5.3509,5.5076,25.59,84,1,1.16,NG,1736478867
147,kapa'a,22.0752,-159.319,26.18,81,0,5.14,US,1736478868
148,yerofey pavlovich,53.9667,121.9667,-16.59,76,4,1.39,RU,1736478869
149,sinop,41.7711,34.8709,7.45,61,7,4.12,TR,1736478870
150,fada,7.25,4.0667,21.24,48,8,1.08,NG,1736478871
151,tommot,58.9564,126.2925,-25.25,95,63,0.57,RU,1736478872
152,chadan,51.2833,91.5833,-20.47,100,100,0.57,RU,1736478874
153,okhotsk,59.3833,143.3,-19.07,78,15,6.29,RU,1736478875
154,ribeira grande,38.5167,-28.7,17.65,96,100,6.26,PT,1736478876
155,yuzhno-kurilsk,44.0306,145.8556,0.56,68,100,5.35,RU,1736478877
156,ilulissat,69.2167,-51.1,-28.43,87,11,2.88,GL,1736478878
